Year,Species,Fishing_Mortality,TSB_Tonnes
1963,Atlantic cod,0.49,464479
1964,Atlantic cod,0.528,592619
1965,Atlantic cod,0.579,755618
1966,Atlantic cod,0.587,905502
1967,Atlantic cod,0.62,960932
1968,Atlantic cod,0.656,822668
1969,Atlantic cod,0.627,681777
1970,Atlantic cod,0.665,1067026
1971,Atlantic cod,0.747,1205198
1972,Atlantic cod,0.803,866122
1973,Atlantic cod,0.794,693095
1974,Atlantic cod,0.763,664154
1975,Atlantic cod,0.815,747924
1976,Atlantic cod,0.867,604276
1977,Atlantic cod,0.829,903226
1978,Atlantic cod,0.907,1023448
1979,Atlantic cod,0.86,957860
1980,Atlantic cod,0.93,1149350
1981,Atlantic cod,0.948,967040
1982,Atlantic cod,1.047,1022740
1983,Atlantic cod,1.046,815439
1984,Atlantic cod,0.988,833290
1985,Atlantic cod,0.955,563672
1986,Atlantic cod,1.001,747370
1987,Atlantic cod,0.984,704717
1988,Atlantic cod,1.005,521073
1989,Atlantic cod,1.019,522512
1990,Atlantic cod,0.955,357378
1991,Atlantic cod,0.942,326378
1992,Atlantic cod,0.936,506750
1993,Atlantic cod,0.944,397362
1994,Atlantic cod,0.958,506688
1995,Atlantic cod,0.992,542476
1996,Atlantic cod,0.991,411570
1997,Atlantic cod,0.975,619309
1998,Atlantic cod,1.001,319881
1999,Atlantic cod,1.044,216366
2000,Atlantic cod,1.04,271333
2001,Atlantic cod,0.976,190857
2002,Atlantic cod,0.924,163064
2003,Atlantic cod,0.905,137246
2004,Atlantic cod,0.859,120054
2005,Atlantic cod,0.799,137277
2006,Atlantic cod,0.735,146969
2007,Atlantic cod,0.689,196233
2008,Atlantic cod,0.658,203026
2009,Atlantic cod,0.65,211742
2010,Atlantic cod,0.578,221730
2011,Atlantic cod,0.485,204854
2012,Atlantic cod,0.45,177916
2013,Atlantic cod,0.442,226431
2014,Atlantic cod,0.445,279942
2015,Atlantic cod,0.433,250908
2016,Atlantic cod,0.423,218892
2017,Atlantic cod,0.444,242908
1972,Haddock,0.864,2588790
1973,Haddock,0.787,2578840
1974,Haddock,0.74,2671630
1975,Haddock,0.869,2104070
1976,Haddock,0.809,1046390
1977,Haddock,0.818,805310
1978,Haddock,0.903,803580
1979,Haddock,0.918,1232080
1980,Haddock,0.894,1434540
1981,Haddock,0.682,1033650
1982,Haddock,0.565,897380
1983,Haddock,0.723,1111260
1984,Haddock,0.845,1375880
1985,Haddock,0.801,907390
1986,Haddock,0.905,1066440
1987,Haddock,0.908,799220
1988,Haddock,0.955,464760
1989,Haddock,0.905,383780
1990,Haddock,0.899,615670
1991,Haddock,0.885,801090
1992,Haddock,0.884,825950
1993,Haddock,0.942,866630
1994,Haddock,0.916,893860
1995,Haddock,0.821,859020
1996,Haddock,0.803,779850
1997,Haddock,0.622,748510
1998,Haddock,0.729,583830
1999,Haddock,0.816,1525980
2000,Haddock,0.886,2161740
2001,Haddock,0.6,1145040
2002,Haddock,0.374,772100
2003,Haddock,0.234,545040
2004,Haddock,0.234,450460
2005,Haddock,0.296,1018280
2006,Haddock,0.5,764930
2007,Haddock,0.422,556810
2008,Haddock,0.248,467540
2009,Haddock,0.197,802660
2010,Haddock,0.215,499030
2011,Haddock,0.314,423350
2012,Haddock,0.189,411590
2013,Haddock,0.204,355790
2014,Haddock,0.336,507560
2015,Haddock,0.451,523270
2016,Haddock,0.321,541040
2017,Haddock,0.247,432570
2018,Haddock,0.288,498520
1990,Whiting,0.685,748079
1991,Whiting,0.542,753311
1992,Whiting,0.492,667445
1993,Whiting,0.499,628095
1994,Whiting,0.638,648072
1995,Whiting,0.541,649093
1996,Whiting,0.443,543197
1997,Whiting,0.343,455870
1998,Whiting,0.332,452652
1999,Whiting,0.392,542198
2000,Whiting,0.446,861725
2001,Whiting,0.302,806567
2002,Whiting,0.205,610566
2003,Whiting,0.192,379397
2004,Whiting,0.2,366571
2005,Whiting,0.187,382698
2006,Whiting,0.268,374651
2007,Whiting,0.256,311529
2008,Whiting,0.255,458506
2009,Whiting,0.224,463797
2010,Whiting,0.229,486307
2011,Whiting,0.175,593219
2012,Whiting,0.155,435236
2013,Whiting,0.19,345498
2014,Whiting,0.244,381108